arm,capability,n_demos,seed,acc_elicited,acc_locked_baseline,acc_unlocked_ceiling,lock_gap,recovery,recovery_ci_lo,recovery_ci_hi,parse_failure_rate,train_seconds,train_steps,n_test
PW,MATH,0,0,0.44666666666666666,0.44666666666666666,0.54,0.09333333333333338,0.0,0.0,0.0,,0.0,0,300
PW,MATH,4,0,0.4666666666666667,0.44666666666666666,0.54,0.09333333333333338,0.21428571428571436,0.0,0.647058823529412,0.0,5.2,2,300
PW,MATH,16,0,0.5766666666666667,0.44666666666666666,0.54,0.09333333333333338,1.0,0.8333333333333331,1.0,0.0,16.6,8,300
PW,MATH,64,0,0.58,0.44666666666666666,0.54,0.09333333333333338,1.0,0.8714226633581472,1.0,0.0,66.1,32,300
PW,MATH,256,0,0.5966666666666667,0.44666666666666666,0.54,0.09333333333333338,1.0,1.0,1.0,0.0,264.6,128,300
PW,MATH,0,1,0.4766666666666667,0.4766666666666667,0.59,0.11333333333333329,0.0,0.0,0.0,,0.0,0,300
PW,MATH,4,1,0.44333333333333336,0.4766666666666667,0.59,0.11333333333333329,0.0,0.0,0.10256410256410237,0.0,4.6,2,300
PW,MATH,16,1,0.6166666666666667,0.4766666666666667,0.59,0.11333333333333329,1.0,0.7821331521739131,1.0,0.0,18.0,8,300
PW,MATH,64,1,0.6433333333333333,0.4766666666666667,0.59,0.11333333333333329,1.0,0.9600000000000004,1.0,0.0,67.3,32,300
PW,MATH,256,1,0.5966666666666667,0.4766666666666667,0.59,0.11333333333333329,1.0,0.6376208897485501,1.0,0.0,257.0,128,300
PW,CODE,0,0,0.44,0.44,0.54,0.10000000000000003,0.0,0.0,0.0,,0.0,0,300
PW,CODE,4,0,0.49,0.44,0.54,0.10000000000000003,0.4999999999999997,0.1134615384615392,0.9200000000000005,0.0033333333333333335,4.1,2,300
PW,CODE,16,0,0.5366666666666666,0.44,0.54,0.10000000000000003,0.9666666666666659,0.5483870967741937,1.0,0.0033333333333333335,15.0,8,300
PW,CODE,64,0,0.5633333333333334,0.44,0.54,0.10000000000000003,1.0,0.826086956521739,1.0,0.0033333333333333335,63.0,32,300
PW,CODE,256,0,0.5233333333333333,0.44,0.54,0.10000000000000003,0.8333333333333329,0.3513513513513513,1.0,0.0033333333333333335,233.7,128,300
PW,CODE,0,1,0.35333333333333333,0.35333333333333333,0.5466666666666666,0.1933333333333333,0.0,0.0,0.0,,0.0,0,300
PW,CODE,4,1,0.4533333333333333,0.35333333333333333,0.5466666666666666,0.1933333333333333,0.5172413793103448,0.32653061224489793,0.7400185185185184,0.0033333333333333335,3.6,2,300
PW,CODE,16,1,0.53,0.35333333333333333,0.5466666666666666,0.1933333333333333,0.9137931034482761,0.7012662337662342,1.0,0.0033333333333333335,14.8,8,300
PW,CODE,64,1,0.5633333333333334,0.35333333333333333,0.5466666666666666,0.1933333333333333,1.0,0.842105263157895,1.0,0.0033333333333333335,59.7,32,300
PW,CODE,256,1,0.54,0.35333333333333333,0.5466666666666666,0.1933333333333333,0.9655172413793107,0.7241265880217783,1.0,0.0033333333333333335,237.4,128,300
SEM,MATH,0,0,0.43,0.43,0.59,0.15999999999999998,0.0,0.0,0.0,,0.0,0,300
SEM,MATH,4,0,0.52,0.43,0.59,0.15999999999999998,0.5625000000000002,0.263157894736842,0.9259710930442632,0.0,3.7,2,300
SEM,MATH,16,0,0.6266666666666667,0.43,0.59,0.15999999999999998,1.0,0.8888888888888893,1.0,0.0,18.6,8,300
SEM,MATH,64,0,0.5833333333333334,0.43,0.59,0.15999999999999998,0.9583333333333337,0.6249999999999998,1.0,0.0,69.9,32,300
SEM,MATH,256,0,0.58,0.43,0.59,0.15999999999999998,0.9374999999999999,0.6037573194534807,1.0,0.0,274.6,128,300
SEM,MATH,0,1,0.4533333333333333,0.4533333333333333,0.5866666666666667,0.13333333333333336,0.0,0.0,0.0,,0.0,0,300
SEM,MATH,4,1,0.5633333333333334,0.4533333333333333,0.5866666666666667,0.13333333333333336,0.8250000000000002,0.48076923076923095,1.0,0.0,4.9,2,300
SEM,MATH,16,1,0.6333333333333333,0.4533333333333333,0.5866666666666667,0.13333333333333336,1.0,0.9721230158730155,1.0,0.0,20.1,8,300
SEM,MATH,64,1,0.6,0.4533333333333333,0.5866666666666667,0.13333333333333336,1.0,0.7435897435897436,1.0,0.0,66.4,32,300
SEM,MATH,256,1,0.6233333333333333,0.4533333333333333,0.5866666666666667,0.13333333333333336,1.0,0.8913043478260874,1.0,0.0,266.8,128,300
SEM,CODE,0,0,0.4166666666666667,0.4166666666666667,0.56,0.14333333333333337,0.0,0.0,0.0,,0.0,0,300
SEM,CODE,4,0,0.53,0.4166666666666667,0.56,0.14333333333333337,0.7906976744186045,0.48837209302325624,1.0,0.0033333333333333335,4.2,2,300
SEM,CODE,16,0,0.5033333333333333,0.4166666666666667,0.56,0.14333333333333337,0.6046511627906972,0.2631578947368421,0.923076923076923,0.0033333333333333335,16.2,8,300
SEM,CODE,64,0,0.5166666666666667,0.4166666666666667,0.56,0.14333333333333337,0.6976744186046512,0.37777777777777793,1.0,0.0033333333333333335,58.8,32,300
SEM,CODE,256,0,0.52,0.4166666666666667,0.56,0.14333333333333337,0.7209302325581394,0.39393939393939365,1.0,0.0033333333333333335,239.1,128,300
SEM,CODE,0,1,0.41,0.41,0.5433333333333333,0.13333333333333336,0.0,0.0,0.0,,0.0,0,300
SEM,CODE,4,1,0.52,0.41,0.5433333333333333,0.13333333333333336,0.8250000000000002,0.5428571428571429,1.0,0.0,3.8,2,300
SEM,CODE,16,1,0.5266666666666666,0.41,0.5433333333333333,0.13333333333333336,0.8749999999999997,0.5785964912280703,1.0,0.0,14.7,8,300
SEM,CODE,64,1,0.5366666666666666,0.41,0.5433333333333333,0.13333333333333336,0.9499999999999997,0.6273512794948488,1.0,0.0,60.3,32,300
SEM,CODE,256,1,0.54,0.41,0.5433333333333333,0.13333333333333336,0.9750000000000003,0.6595744680851063,1.0,0.0,246.2,128,300
