arm,capability,n_demos,n_seeds,recovery_mean_over_seeds,recovery,recovery_lo,recovery_hi,n_problems_total,ci_method,acc_elicited,acc_lo,acc_hi
PW,CODE,0,2,0.0,0.0,0.0,0.0,600,pooled_over_seeds,0.39666666666666667,0.3566666666666667,0.435
PW,CODE,4,2,0.5086206896551723,0.5086206896551723,0.29544976076555,0.7429454251029515,600,pooled_over_seeds,0.4716666666666667,0.43166666666666664,0.5116666666666667
PW,CODE,16,2,0.9402298850574711,0.9402298850574711,0.7022649974499551,1.0,600,pooled_over_seeds,0.5333333333333333,0.4932916666666671,0.5733333333333334
PW,CODE,64,2,1.0,1.0,0.8873182644252612,1.0,600,pooled_over_seeds,0.5633333333333334,0.5233333333333333,0.6033333333333334
PW,CODE,256,2,0.8994252873563218,0.8994252873563218,0.6285572950641447,1.0,600,pooled_over_seeds,0.5316666666666666,0.49166666666666664,0.5716666666666667
PW,MATH,0,2,0.0,0.0,0.0,0.0,600,pooled_over_seeds,0.46166666666666667,0.4216666666666667,0.5016666666666667
PW,MATH,4,2,0.10714285714285718,0.10714285714285718,0.0,0.3333333333333333,600,pooled_over_seeds,0.455,0.415,0.495
PW,MATH,16,2,1.0,1.0,0.8620689655172417,1.0,600,pooled_over_seeds,0.5966666666666667,0.5566666666666666,0.635
PW,MATH,64,2,1.0,1.0,0.9218750000000001,1.0,600,pooled_over_seeds,0.6116666666666667,0.5716666666666667,0.6500416666666661
PW,MATH,256,2,1.0,1.0,0.8108108108108105,1.0,600,pooled_over_seeds,0.5966666666666667,0.5566666666666666,0.635
SEM,CODE,0,2,0.0,0.0,0.0,0.0,600,pooled_over_seeds,0.41333333333333333,0.375,0.45166666666666666
SEM,CODE,4,2,0.8078488372093023,0.8078488372093023,0.604166666666667,0.9814814814814811,600,pooled_over_seeds,0.525,0.485,0.565
SEM,CODE,16,2,0.7398255813953485,0.7398255813953485,0.5173500156641606,0.9242495711835337,600,pooled_over_seeds,0.515,0.475,0.555
SEM,CODE,64,2,0.8238372093023254,0.8238372093023254,0.5867613320355951,0.9864864864864866,600,pooled_over_seeds,0.5266666666666666,0.4866666666666667,0.5666666666666667
SEM,CODE,256,2,0.8479651162790698,0.8479651162790698,0.6186265082956259,1.0,600,pooled_over_seeds,0.53,0.48833333333333334,0.57
SEM,MATH,0,2,0.0,0.0,0.0,0.0,600,pooled_over_seeds,0.44166666666666665,0.40166666666666667,0.4816666666666667
SEM,MATH,4,2,0.6937500000000002,0.6937500000000002,0.46387636612021876,0.9081857918606036,600,pooled_over_seeds,0.5416666666666666,0.5016666666666667,0.5816666666666667
SEM,MATH,16,2,1.0,1.0,0.935483870967742,1.0,600,pooled_over_seeds,0.63,0.5916666666666667,0.6683333333333333
SEM,MATH,64,2,0.9791666666666669,0.9791666666666669,0.7760778202061099,1.0,600,pooled_over_seeds,0.5916666666666667,0.5516666666666666,0.6316666666666667
SEM,MATH,256,2,0.96875,0.96875,0.7937191768180143,1.0,600,pooled_over_seeds,0.6016666666666667,0.5616666666666666,0.6416666666666667
