hypothesis,metric,capability,PW,SEM,direction_predicted,supported,flag,note
H1,N50,CODE,3.964556689883855,4.116585551776845,SEM > PW,,n.s.,differs by 0.15 demonstrations
H1,N50,MATH,6.518269063460722,3.3906198076406286,SEM > PW,False,,
H1,recovery@N=0,CODE,0.0,0.0,PW > SEM,,n.s.,
H1,recovery@N=4,CODE,0.5086206896551723,0.8078488372093023,PW > SEM,False,,
H1,recovery@N=16,CODE,0.9402298850574712,0.7398255813953485,PW > SEM,True,,
H1,recovery@N=64,CODE,1.0,0.8238372093023254,PW > SEM,True,,
H1,recovery@N=256,CODE,0.8994252873563218,0.8479651162790698,PW > SEM,,n.s.,
H1,recovery@N=0,MATH,0.0,0.0,PW > SEM,,n.s.,
H1,recovery@N=4,MATH,0.1071428571428571,0.6937500000000002,PW > SEM,False,,
H1,recovery@N=16,MATH,1.0,1.0,PW > SEM,,n.s.,
H1,recovery@N=64,MATH,1.0,0.9791666666666669,PW > SEM,,n.s.,
H1,recovery@N=256,MATH,1.0,0.96875,PW > SEM,,n.s.,
H2,transfer_ratio (cross_capability),pooled,0.15948275862068964,0.8781094783850425,PW > SEM,False,,
H2,transfer_ratio (cross_trigger),pooled,0.08088235294117645,0.4337356053532524,PW > SEM,False,,
H3a,participation ratio @ selected layer,CODE,1.296,1.248,SEM > PW,,n.s.,max seed range 0.330
H3a,participation ratio @ selected layer,MATH,1.09,1.451,SEM > PW,True,,max seed range 0.055
H3b,MATH-CODE direction cosine @ selected layer,pooled,0.16158,0.473659,PW > SEM,False,,"per-seed PW 0.200/0.123, SEM 0.449/0.499"
H3b-control,STRONG/BASE baseline (PW),pooled,0.403773158788681,0.161579992622137,BASE vs locked,,,"BASE 0.404 -> STRONG 0.308 -> locked 0.162; SFT -0.096, lock -0.146"
H3b-control,STRONG/BASE baseline (SEM),pooled,0.3174551129341125,0.4736593812704086,BASE vs locked,,,"BASE 0.317 -> STRONG 0.298 -> locked 0.474; SFT -0.020, lock +0.176"
H4,max-over-alpha steering recovery,CODE,0.330163043478261,0.231366459627329,PW > SEM,,n.s.,
H4,max-over-alpha steering recovery,MATH,0.0,0.478846153846154,PW > SEM,False,,
H5,recovery at LoRA rank <= 2,MATH,0.25997899159663845,0.5833333333333335,PW > SEM,False,,
