model,condition,seed,layer,cosine,locked
STRONG,sem,0,0,,False
STRONG,sem,0,1,0.7535139918327332,False
STRONG,sem,0,2,0.8016319870948792,False
STRONG,sem,0,3,0.6718761324882507,False
STRONG,sem,0,4,0.6676639914512634,False
STRONG,sem,0,5,0.6533488631248474,False
STRONG,sem,0,6,0.5586657524108887,False
STRONG,sem,0,7,0.4708029329776764,False
STRONG,sem,0,8,0.5193880200386047,False
STRONG,sem,0,9,0.4920931160449981,False
STRONG,sem,0,10,0.4827423989772796,False
STRONG,sem,0,11,0.4957277178764343,False
STRONG,sem,0,12,0.5313568115234375,False
STRONG,sem,0,13,0.3715635538101196,False
STRONG,sem,0,14,0.4418839514255523,False
STRONG,sem,0,15,0.3376955389976501,False
STRONG,sem,0,16,0.3605819046497345,False
STRONG,sem,0,17,0.235317975282669,False
STRONG,sem,0,18,0.2389069944620132,False
STRONG,sem,0,19,0.2581612169742584,False
STRONG,sem,0,20,0.2638395130634308,False
STRONG,sem,0,21,0.2638595998287201,False
STRONG,sem,0,22,0.2923045754432678,False
STRONG,sem,0,23,0.3057725131511688,False
STRONG,sem,0,24,0.2831504940986633,False
STRONG,sem,0,25,0.3154214918613434,False
STRONG,sem,0,26,0.3101412057876587,False
STRONG,sem,0,27,0.2629280090332031,False
STRONG,sem,0,28,0.2248375117778778,False
STRONG,sem,1,0,,False
STRONG,sem,1,1,0.7292354702949524,False
STRONG,sem,1,2,0.7335771918296814,False
STRONG,sem,1,3,0.6689296364784241,False
STRONG,sem,1,4,0.6559526324272156,False
STRONG,sem,1,5,0.6468546390533447,False
STRONG,sem,1,6,0.5459345579147339,False
STRONG,sem,1,7,0.4984106719493866,False
STRONG,sem,1,8,0.5562400817871094,False
STRONG,sem,1,9,0.5342647433280945,False
STRONG,sem,1,10,0.5684933662414551,False
STRONG,sem,1,11,0.5474948883056641,False
STRONG,sem,1,12,0.5869990587234497,False
STRONG,sem,1,13,0.5524384379386902,False
STRONG,sem,1,14,0.5305373072624207,False
STRONG,sem,1,15,0.4736581742763519,False
STRONG,sem,1,16,0.4747664332389831,False
STRONG,sem,1,17,0.3529285788536072,False
STRONG,sem,1,18,0.3566527664661407,False
STRONG,sem,1,19,0.356456458568573,False
STRONG,sem,1,20,0.419991672039032,False
STRONG,sem,1,21,0.4195095002651214,False
STRONG,sem,1,22,0.4039250314235687,False
STRONG,sem,1,23,0.4325188994407654,False
STRONG,sem,1,24,0.3944901525974273,False
STRONG,sem,1,25,0.4198789298534393,False
STRONG,sem,1,26,0.395894706249237,False
STRONG,sem,1,27,0.3424915969371795,False
STRONG,sem,1,28,0.3309746086597442,False
STRONG,pw,0,0,,False
STRONG,pw,0,1,0.5255005955696106,False
STRONG,pw,0,2,0.5047271251678467,False
STRONG,pw,0,3,0.6203357577323914,False
STRONG,pw,0,4,0.5000980496406555,False
STRONG,pw,0,5,0.4957233965396881,False
STRONG,pw,0,6,0.5017816424369812,False
STRONG,pw,0,7,0.4913609623908996,False
STRONG,pw,0,8,0.4393022656440735,False
STRONG,pw,0,9,0.408701092004776,False
STRONG,pw,0,10,0.392544537782669,False
STRONG,pw,0,11,0.3746873140335083,False
STRONG,pw,0,12,0.3674139082431793,False
STRONG,pw,0,13,0.3352307379245758,False
STRONG,pw,0,14,0.3754179775714874,False
STRONG,pw,0,15,0.2399900704622268,False
STRONG,pw,0,16,0.318671703338623,False
STRONG,pw,0,17,0.3382503986358642,False
STRONG,pw,0,18,0.26810222864151,False
STRONG,pw,0,19,0.2351557910442352,False
STRONG,pw,0,20,0.2285981029272079,False
STRONG,pw,0,21,0.2450406104326248,False
STRONG,pw,0,22,0.1891849786043167,False
STRONG,pw,0,23,0.1563720405101776,False
STRONG,pw,0,24,0.164935752749443,False
STRONG,pw,0,25,0.1475213021039962,False
STRONG,pw,0,26,0.1638370603322982,False
STRONG,pw,0,27,0.1748788952827453,False
STRONG,pw,0,28,0.1345254778861999,False
STRONG,pw,1,0,,False
STRONG,pw,1,1,0.527870774269104,False
STRONG,pw,1,2,0.524692714214325,False
STRONG,pw,1,3,0.6200937032699585,False
STRONG,pw,1,4,0.5347317457199097,False
STRONG,pw,1,5,0.5048573613166809,False
STRONG,pw,1,6,0.4798048436641693,False
STRONG,pw,1,7,0.5066946148872375,False
STRONG,pw,1,8,0.4676129221916199,False
STRONG,pw,1,9,0.486221432685852,False
STRONG,pw,1,10,0.5207871198654175,False
STRONG,pw,1,11,0.4689729511737823,False
STRONG,pw,1,12,0.3891364336013794,False
STRONG,pw,1,13,0.3931286334991455,False
STRONG,pw,1,14,0.4203678965568542,False
STRONG,pw,1,15,0.3758052587509155,False
STRONG,pw,1,16,0.4060574471950531,False
STRONG,pw,1,17,0.3293125927448272,False
STRONG,pw,1,18,0.3250545859336853,False
STRONG,pw,1,19,0.3166921734809875,False
STRONG,pw,1,20,0.2805139124393463,False
STRONG,pw,1,21,0.222577691078186,False
STRONG,pw,1,22,0.2192278504371643,False
STRONG,pw,1,23,0.213012546300888,False
STRONG,pw,1,24,0.2125075012445449,False
STRONG,pw,1,25,0.1636623591184616,False
STRONG,pw,1,26,0.1897650212049484,False
STRONG,pw,1,27,0.2399973273277282,False
STRONG,pw,1,28,0.282240092754364,False
BASE,sem,0,0,,False
BASE,sem,0,1,0.7604630589485168,False
BASE,sem,0,2,0.7851852774620056,False
BASE,sem,0,3,0.695906400680542,False
BASE,sem,0,4,0.6852447390556335,False
BASE,sem,0,5,0.6893254518508911,False
BASE,sem,0,6,0.6295120120048523,False
BASE,sem,0,7,0.5300436019897461,False
BASE,sem,0,8,0.5515004396438599,False
BASE,sem,0,9,0.5369014739990234,False
BASE,sem,0,10,0.5382431149482727,False
BASE,sem,0,11,0.5617006421089172,False
BASE,sem,0,12,0.6728128790855408,False
BASE,sem,0,13,0.6184619069099426,False
BASE,sem,0,14,0.592571496963501,False
BASE,sem,0,15,0.5103888511657715,False
BASE,sem,0,16,0.4538688659667969,False
BASE,sem,0,17,0.266365110874176,False
BASE,sem,0,18,0.3101640343666076,False
BASE,sem,0,19,0.3225353956222534,False
BASE,sem,0,20,0.253371924161911,False
BASE,sem,0,21,0.2477333843708038,False
BASE,sem,0,22,0.3404702842235565,False
BASE,sem,0,23,0.3442712724208832,False
BASE,sem,0,24,0.3294703960418701,False
BASE,sem,0,25,0.3295560479164123,False
BASE,sem,0,26,0.3094899654388428,False
BASE,sem,0,27,0.2970984280109405,False
BASE,sem,0,28,0.2687946259975433,False
BASE,sem,1,0,,False
BASE,sem,1,1,0.7269821763038635,False
BASE,sem,1,2,0.7557308673858643,False
BASE,sem,1,3,0.5804691910743713,False
BASE,sem,1,4,0.6672539114952087,False
BASE,sem,1,5,0.6658880710601807,False
BASE,sem,1,6,0.5974574685096741,False
BASE,sem,1,7,0.5190543532371521,False
BASE,sem,1,8,0.5411351323127747,False
BASE,sem,1,9,0.5312854051589966,False
BASE,sem,1,10,0.5408546328544617,False
BASE,sem,1,11,0.5701093077659607,False
BASE,sem,1,12,0.6441939473152161,False
BASE,sem,1,13,0.6037851572036743,False
BASE,sem,1,14,0.5919652581214905,False
BASE,sem,1,15,0.5080453157424927,False
BASE,sem,1,16,0.4632426500320434,False
BASE,sem,1,17,0.2813287079334259,False
BASE,sem,1,18,0.3247461915016174,False
BASE,sem,1,19,0.3330406546592712,False
BASE,sem,1,20,0.2732199132442474,False
BASE,sem,1,21,0.2589680552482605,False
BASE,sem,1,22,0.3513859510421753,False
BASE,sem,1,23,0.3528685569763183,False
BASE,sem,1,24,0.3393162488937378,False
BASE,sem,1,25,0.3359744548797607,False
