arm,seed,capability,auc,accuracy,n_train,n_test,layer
PW,0,MATH,0.5,0.5,400,200,0
PW,0,MATH,1.0,1.0,400,200,1
PW,0,MATH,1.0,1.0,400,200,2
PW,0,MATH,1.0,1.0,400,200,3
PW,0,MATH,1.0,1.0,400,200,4
PW,0,MATH,1.0,1.0,400,200,5
PW,0,MATH,1.0,1.0,400,200,6
PW,0,MATH,1.0,1.0,400,200,7
PW,0,MATH,1.0,1.0,400,200,8
PW,0,MATH,1.0,1.0,400,200,9
PW,0,MATH,1.0,1.0,400,200,10
PW,0,MATH,1.0,1.0,400,200,11
PW,0,MATH,1.0,1.0,400,200,12
PW,0,MATH,1.0,1.0,400,200,13
PW,0,MATH,1.0,1.0,400,200,14
PW,0,MATH,1.0,1.0,400,200,15
PW,0,MATH,1.0,1.0,400,200,16
PW,0,MATH,1.0,1.0,400,200,17
PW,0,MATH,1.0,1.0,400,200,18
PW,0,MATH,1.0,1.0,400,200,19
PW,0,MATH,1.0,1.0,400,200,20
PW,0,MATH,1.0,1.0,400,200,21
PW,0,MATH,1.0,1.0,400,200,22
PW,0,MATH,1.0,1.0,400,200,23
PW,0,MATH,1.0,1.0,400,200,24
PW,0,MATH,1.0,1.0,400,200,25
PW,0,MATH,1.0,1.0,400,200,26
PW,0,MATH,1.0,1.0,400,200,27
PW,0,MATH,1.0,1.0,400,200,28
PW,0,CODE,0.5,0.5,400,180,0
PW,0,CODE,1.0,1.0,400,180,1
PW,0,CODE,1.0,1.0,400,180,2
PW,0,CODE,1.0,1.0,400,180,3
PW,0,CODE,1.0,1.0,400,180,4
PW,0,CODE,1.0,1.0,400,180,5
PW,0,CODE,1.0,1.0,400,180,6
PW,0,CODE,1.0,1.0,400,180,7
PW,0,CODE,1.0,1.0,400,180,8
PW,0,CODE,1.0,1.0,400,180,9
PW,0,CODE,1.0,1.0,400,180,10
PW,0,CODE,1.0,1.0,400,180,11
PW,0,CODE,1.0,1.0,400,180,12
PW,0,CODE,1.0,1.0,400,180,13
PW,0,CODE,1.0,1.0,400,180,14
PW,0,CODE,1.0,1.0,400,180,15
PW,0,CODE,1.0,1.0,400,180,16
PW,0,CODE,1.0,1.0,400,180,17
PW,0,CODE,1.0,1.0,400,180,18
PW,0,CODE,1.0,1.0,400,180,19
PW,0,CODE,1.0,1.0,400,180,20
PW,0,CODE,1.0,1.0,400,180,21
PW,0,CODE,1.0,1.0,400,180,22
PW,0,CODE,1.0,1.0,400,180,23
PW,0,CODE,1.0,1.0,400,180,24
PW,0,CODE,1.0,1.0,400,180,25
PW,0,CODE,1.0,1.0,400,180,26
PW,0,CODE,1.0,1.0,400,180,27
PW,0,CODE,1.0,1.0,400,180,28
PW,1,MATH,0.5,0.5,400,200,0
PW,1,MATH,1.0,1.0,400,200,1
PW,1,MATH,1.0,1.0,400,200,2
PW,1,MATH,1.0,1.0,400,200,3
PW,1,MATH,1.0,1.0,400,200,4
PW,1,MATH,1.0,1.0,400,200,5
PW,1,MATH,1.0,1.0,400,200,6
PW,1,MATH,1.0,1.0,400,200,7
PW,1,MATH,1.0,1.0,400,200,8
PW,1,MATH,1.0,1.0,400,200,9
PW,1,MATH,1.0,1.0,400,200,10
PW,1,MATH,1.0,1.0,400,200,11
PW,1,MATH,1.0,1.0,400,200,12
PW,1,MATH,1.0,1.0,400,200,13
PW,1,MATH,1.0,1.0,400,200,14
PW,1,MATH,1.0,1.0,400,200,15
PW,1,MATH,1.0,1.0,400,200,16
PW,1,MATH,1.0,1.0,400,200,17
PW,1,MATH,1.0,1.0,400,200,18
PW,1,MATH,1.0,1.0,400,200,19
PW,1,MATH,1.0,1.0,400,200,20
PW,1,MATH,1.0,1.0,400,200,21
PW,1,MATH,1.0,1.0,400,200,22
PW,1,MATH,1.0,1.0,400,200,23
PW,1,MATH,1.0,1.0,400,200,24
PW,1,MATH,1.0,1.0,400,200,25
PW,1,MATH,1.0,1.0,400,200,26
