arm,capability,seed,lora_rank,n_demos,acc,acc_locked,acc_unlocked,recovery,recovery_lo,recovery_hi,parse_failure_rate
PW,MATH,0,1,64,0.45,0.44666666666666666,0.54,0.03571428571428593,0.0,0.44444444444444453,0.0
PW,MATH,0,2,64,0.5266666666666666,0.44666666666666666,0.54,0.8571428571428563,0.3749999999999994,1.0,0.0
PW,MATH,0,4,64,0.52,0.44666666666666666,0.54,0.7857142857142856,0.23809523809523864,1.0,0.0
PW,MATH,0,8,64,0.53,0.44666666666666666,0.54,0.8928571428571428,0.3448275862068965,1.0,0.0
PW,MATH,0,16,64,0.5233333333333333,0.44666666666666666,0.54,0.821428571428571,0.26086956521739113,1.0,0.0
PW,MATH,0,32,64,0.5666666666666667,0.44666666666666666,0.54,1.0,0.7352941176470587,1.0,0.0
PW,MATH,1,1,64,0.44,0.4766666666666667,0.59,0.0,0.0,0.06451612903225794,0.0
PW,MATH,1,2,64,0.49333333333333335,0.4766666666666667,0.59,0.1470588235294118,0.0,0.5683377896613191,0.0
PW,MATH,1,4,64,0.5633333333333334,0.4766666666666667,0.59,0.7647058823529416,0.2941176470588226,1.0,0.0
PW,MATH,1,8,64,0.5666666666666667,0.4766666666666667,0.59,0.7941176470588236,0.3209285714285712,1.0,0.0
PW,MATH,1,16,64,0.5833333333333334,0.4766666666666667,0.59,0.9411764705882358,0.5,1.0,0.0
PW,MATH,1,32,64,0.6433333333333333,0.4766666666666667,0.59,1.0,0.9612745098039217,1.0,0.0
SEM,MATH,0,1,64,0.5033333333333333,0.43,0.59,0.45833333333333326,0.17647058823529435,0.7857142857142856,0.0
SEM,MATH,0,2,64,0.53,0.43,0.59,0.6250000000000003,0.32725524475524476,1.0,0.0
SEM,MATH,0,4,64,0.56,0.43,0.59,0.8125000000000004,0.5102040816326533,1.0,0.0
SEM,MATH,0,8,64,0.5666666666666667,0.43,0.59,0.8541666666666667,0.5370144534778681,1.0,0.0
SEM,MATH,0,16,64,0.54,0.43,0.59,0.6875000000000003,0.3454545454545455,1.0,0.0
SEM,MATH,0,32,64,0.5866666666666667,0.43,0.59,0.9791666666666669,0.6590631929046562,1.0,0.0
SEM,MATH,1,1,64,0.4866666666666667,0.4533333333333333,0.5866666666666667,0.25000000000000033,0.0,0.605263157894737,0.0
SEM,MATH,1,2,64,0.61,0.4533333333333333,0.5866666666666667,1.0,0.799576271186441,1.0,0.0
SEM,MATH,1,4,64,0.61,0.4533333333333333,0.5866666666666667,1.0,0.7915455426356587,1.0,0.0
SEM,MATH,1,8,64,0.5833333333333334,0.4533333333333333,0.5866666666666667,0.9750000000000003,0.5895550527903471,1.0,0.0
SEM,MATH,1,16,64,0.5466666666666666,0.4533333333333333,0.5866666666666667,0.6999999999999998,0.29780046003450283,1.0,0.0
SEM,MATH,1,32,64,0.5566666666666666,0.4533333333333333,0.5866666666666667,0.7749999999999998,0.39130434782608736,1.0,0.0
