arm,capability,lora_rank,n_seeds,recovery_mean_over_seeds,recovery,recovery_lo,recovery_hi,n_problems_total,ci_method,acc_elicited,acc_lo,acc_hi
PW,MATH,1,2,0.017857142857142964,0.017857142857142964,0.0,0.23214285714285718,600,pooled_over_seeds,0.445,0.4066250000000004,0.485
PW,MATH,2,2,0.502100840336134,0.502100840336134,0.0,0.7718195337814967,600,pooled_over_seeds,0.51,0.4683333333333333,0.5483333333333333
PW,MATH,4,2,0.7752100840336136,0.7752100840336136,0.3889336917562723,1.0,600,pooled_over_seeds,0.5416666666666666,0.5016666666666667,0.5816666666666667
PW,MATH,8,2,0.8434873949579832,0.8434873949579832,0.45703966764942355,1.0,600,pooled_over_seeds,0.5483333333333333,0.5083333333333333,0.5883333333333334
PW,MATH,16,2,0.8813025210084033,0.8813025210084033,0.5037688870269518,1.0,600,pooled_over_seeds,0.5533333333333333,0.5133333333333333,0.5933333333333334
PW,MATH,32,2,1.0,1.0,0.8623491379310344,1.0,600,pooled_over_seeds,0.605,0.565,0.645
SEM,MATH,1,2,0.3541666666666668,0.3541666666666668,0.15249715828360327,0.5964179551393726,600,pooled_over_seeds,0.495,0.455,0.5333333333333333
SEM,MATH,2,2,0.8125000000000002,0.8125000000000002,0.6387725090036014,0.9893672429078015,600,pooled_over_seeds,0.57,0.53,0.61
SEM,MATH,4,2,0.9062500000000002,0.9062500000000002,0.7310303495512517,1.0,600,pooled_over_seeds,0.585,0.545,0.625
SEM,MATH,8,2,0.9145833333333335,0.9145833333333335,0.6653474642421892,1.0,600,pooled_over_seeds,0.575,0.535,0.615
SEM,MATH,16,2,0.6937500000000001,0.6937500000000001,0.4361086309523811,0.9383777029783762,600,pooled_over_seeds,0.5433333333333333,0.5033333333333333,0.5833333333333334
SEM,MATH,32,2,0.8770833333333333,0.8770833333333333,0.6310745281919853,1.0,600,pooled_over_seeds,0.5716666666666667,0.5316666666666666,0.6116666666666667
