arm,capability,seed,layer,hook_layer,direction,alpha,natural_scale,acc,acc_locked,acc_unlocked,recovery,recovery_lo,recovery_hi,parse_failure_rate,n
PW,MATH,0,15,14,unlock_direction,0.0,27.753568649291992,0.42,0.4,0.5,0.19999999999999968,0.0,0.6228365384615349,0.0,150
PW,MATH,0,15,14,unlock_direction,0.5,27.753568649291992,0.29333333333333333,0.4,0.5,0.0,0.0,0.0,0.0,150
PW,MATH,0,15,14,unlock_direction,1.0,27.753568649291992,0.02,0.4,0.5,0.0,0.0,0.0,0.0,150
PW,MATH,0,15,14,unlock_direction,2.0,27.753568649291992,0.013333333333333334,0.4,0.5,0.0,0.0,0.0,0.12666666666666668,150
PW,MATH,0,15,14,unlock_direction,4.0,27.753568649291992,0.0,0.4,0.5,0.0,0.0,0.0,0.8666666666666667,150
PW,MATH,0,15,14,unlock_direction,8.0,27.753568649291992,0.0,0.4,0.5,0.0,0.0,0.0,1.0,150
PW,MATH,0,15,14,random_direction,1.0,27.753568649291992,0.02666666666666667,0.4,0.5,0.0,0.0,0.0,0.013333333333333334,150
PW,MATH,0,15,14,random_direction,2.0,27.753568649291992,0.013333333333333334,0.4,0.5,0.0,0.0,0.0,0.21333333333333335,150
PW,MATH,0,15,14,random_direction,4.0,27.753568649291992,0.0,0.4,0.5,0.0,0.0,0.0,0.9666666666666667,150
PW,MATH,0,15,14,shuffled_labels,1.0,27.753568649291992,0.02,0.4,0.5,0.0,0.0,0.0,0.21333333333333335,150
PW,MATH,0,15,14,shuffled_labels,2.0,27.753568649291992,0.0,0.4,0.5,0.0,0.0,0.0,1.0,150
PW,MATH,0,15,14,shuffled_labels,4.0,27.753568649291992,0.0,0.4,0.5,0.0,0.0,0.0,1.0,150
PW,CODE,0,15,14,unlock_direction,0.0,13.919290542602539,0.42,0.4266666666666667,0.5266666666666666,0.0,0.0,0.2666666666666664,0.0,150
PW,CODE,0,15,14,unlock_direction,0.5,13.919290542602539,0.3933333333333333,0.4266666666666667,0.5266666666666666,0.0,0.0,0.35000000000000026,0.0,150
PW,CODE,0,15,14,unlock_direction,1.0,13.919290542602539,0.4533333333333333,0.4266666666666667,0.5266666666666666,0.2666666666666664,0.0,0.9090909090909093,0.0,150
PW,CODE,0,15,14,unlock_direction,2.0,13.919290542602539,0.17333333333333334,0.4266666666666667,0.5266666666666666,0.0,0.0,0.0,0.0,150
PW,CODE,0,15,14,unlock_direction,4.0,13.919290542602539,0.0,0.4266666666666667,0.5266666666666666,0.0,0.0,0.0,1.0,150
PW,CODE,0,15,14,unlock_direction,8.0,13.919290542602539,0.0,0.4266666666666667,0.5266666666666666,0.0,0.0,0.0,1.0,150
PW,CODE,0,15,14,random_direction,1.0,13.919290542602539,0.3333333333333333,0.4266666666666667,0.5266666666666666,0.0,0.0,0.0,0.0,150
PW,CODE,0,15,14,random_direction,2.0,13.919290542602539,0.04666666666666667,0.4266666666666667,0.5266666666666666,0.0,0.0,0.0,0.0,150
