arm,capability,direction,alpha,n_seeds,recovery_mean_over_seeds,recovery,recovery_lo,recovery_hi,n_problems_total,ci_method,acc_elicited,acc_lo,acc_hi
PW,CODE,random_direction,1.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.3333333333333333,0.26,0.41333333333333333
PW,CODE,random_direction,2.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.04666666666666667,0.013333333333333334,0.08
PW,CODE,random_direction,4.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
PW,CODE,shuffled_labels,1.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.22666666666666666,0.16,0.29333333333333333
PW,CODE,shuffled_labels,2.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
PW,CODE,shuffled_labels,4.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
PW,CODE,unlock_direction,0.0,2,0.0,0.0,0.0,0.1666666666666667,300,pooled_over_seeds,0.39666666666666667,0.34,0.4533333333333333
PW,CODE,unlock_direction,0.5,2,0.0,0.0,0.0,0.2503571428571444,300,pooled_over_seeds,0.37666666666666665,0.3233333333333333,0.43
PW,CODE,unlock_direction,1.0,2,0.30724637681159417,0.30724637681159417,0.0,0.7219097222222224,300,pooled_over_seeds,0.44,0.38333333333333336,0.49666666666666665
PW,CODE,unlock_direction,2.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.09,0.06,0.12333333333333334
PW,CODE,unlock_direction,4.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.0,0.0,0.0
PW,CODE,unlock_direction,8.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.0,0.0,0.0
PW,MATH,random_direction,1.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.02666666666666667,0.006666666666666667,0.05333333333333334
PW,MATH,random_direction,2.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.013333333333333334,0.0,0.03333333333333333
PW,MATH,random_direction,4.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
PW,MATH,shuffled_labels,1.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.02,0.0,0.04666666666666667
PW,MATH,shuffled_labels,2.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
PW,MATH,shuffled_labels,4.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
PW,MATH,unlock_direction,0.0,2,0.09999999999999984,0.09999999999999984,0.0,0.4166666666666665,300,pooled_over_seeds,0.4166666666666667,0.36333333333333334,0.47333333333333333
PW,MATH,unlock_direction,0.5,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.25333333333333335,0.20666666666666667,0.30333333333333334
PW,MATH,unlock_direction,1.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.02,0.006666666666666667,0.03666666666666667
PW,MATH,unlock_direction,2.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.013333333333333334,0.0033333333333333335,0.02666666666666667
PW,MATH,unlock_direction,4.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.0,0.0,0.0
PW,MATH,unlock_direction,8.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.0,0.0,0.0
SEM,CODE,random_direction,1.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.32,0.24666666666666667,0.3933333333333333
SEM,CODE,random_direction,2.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
SEM,CODE,random_direction,4.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
SEM,CODE,shuffled_labels,1.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.15333333333333332,0.1,0.21333333333333335
SEM,CODE,shuffled_labels,2.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
SEM,CODE,shuffled_labels,4.0,1,0.0,0.0,0.0,0.0,150,pooled_over_seeds,0.0,0.0,0.0
SEM,CODE,unlock_direction,0.0,2,0.03333333333333326,0.03333333333333326,0.0,0.19444444444444445,300,pooled_over_seeds,0.4166666666666667,0.36333333333333334,0.47333333333333333
SEM,CODE,unlock_direction,0.5,2,0.20454545454545445,0.20454545454545445,0.026315789473684383,0.6111111111111106,300,pooled_over_seeds,0.44333333333333336,0.38666666666666666,0.5
SEM,CODE,unlock_direction,1.0,2,0.2484848484848483,0.2484848484848483,0.0,0.6750219298245611,300,pooled_over_seeds,0.45,0.3933333333333333,0.5066666666666667
SEM,CODE,unlock_direction,2.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.14,0.10333333333333333,0.18
SEM,CODE,unlock_direction,4.0,2,0.0,0.0,0.0,0.0,300,pooled_over_seeds,0.0,0.0,0.0
