arm,capability,direction,alpha,recovery,recovery_lo,recovery_hi,n_seeds,ci_method,baseline
PW,CODE,random_direction,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,CODE,random_direction,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,CODE,random_direction,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,CODE,shuffled_labels,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,CODE,shuffled_labels,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,CODE,shuffled_labels,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,CODE,unlock_direction,0.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,CODE,unlock_direction,0.5,0.0,0.0,0.2569715719063544,2,pooled_over_seeds,alpha0_batch_matched
PW,CODE,unlock_direction,1.0,0.330163043478261,0.0,0.7270185406698564,2,pooled_over_seeds,alpha0_batch_matched
PW,CODE,unlock_direction,2.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,CODE,unlock_direction,4.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,CODE,unlock_direction,8.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,MATH,random_direction,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,MATH,random_direction,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,MATH,random_direction,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,MATH,shuffled_labels,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,MATH,shuffled_labels,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,MATH,shuffled_labels,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
PW,MATH,unlock_direction,0.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,MATH,unlock_direction,0.5,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,MATH,unlock_direction,1.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,MATH,unlock_direction,2.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,MATH,unlock_direction,4.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
PW,MATH,unlock_direction,8.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,random_direction,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,random_direction,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,random_direction,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,shuffled_labels,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,shuffled_labels,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,shuffled_labels,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,unlock_direction,0.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,unlock_direction,0.5,0.21739130434782597,0.055555555555555476,0.6262394957983166,2,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,unlock_direction,1.0,0.23136645962732905,0.0,0.6911764705882353,2,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,unlock_direction,2.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,unlock_direction,4.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,CODE,unlock_direction,8.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,random_direction,1.0,0.0,0.0,0.17647058823529424,1,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,random_direction,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,random_direction,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,shuffled_labels,1.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,shuffled_labels,2.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,shuffled_labels,4.0,0.0,0.0,0.0,1,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,unlock_direction,0.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,unlock_direction,0.5,0.47884615384615403,0.10413262527233126,1.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,unlock_direction,1.0,0.0,0.0,0.2800000000000001,2,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,unlock_direction,2.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,unlock_direction,4.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
SEM,MATH,unlock_direction,8.0,0.0,0.0,0.0,2,pooled_over_seeds,alpha0_batch_matched
