model,condition,seed,layer,cosine
STRONG,sem,0,0,
STRONG,sem,0,1,0.7535139918327332
STRONG,sem,0,2,0.8016319870948792
STRONG,sem,0,3,0.6718761324882507
STRONG,sem,0,4,0.6676639914512634
STRONG,sem,0,5,0.6533488631248474
STRONG,sem,0,6,0.5586657524108887
STRONG,sem,0,7,0.4708029329776764
STRONG,sem,0,8,0.5193880200386047
STRONG,sem,0,9,0.49209311604499817
STRONG,sem,0,10,0.48274239897727966
STRONG,sem,0,11,0.4957277178764343
STRONG,sem,0,12,0.5313568115234375
STRONG,sem,0,13,0.37156355381011963
STRONG,sem,0,14,0.44188395142555237
STRONG,sem,0,15,0.33769553899765015
STRONG,sem,0,16,0.3605819046497345
STRONG,sem,0,17,0.23531797528266907
STRONG,sem,0,18,0.23890699446201324
STRONG,sem,0,19,0.2581612169742584
STRONG,sem,0,20,0.2638395130634308
STRONG,sem,0,21,0.2638595998287201
STRONG,sem,0,22,0.2923045754432678
STRONG,sem,0,23,0.3057725131511688
STRONG,sem,0,24,0.28315049409866333
STRONG,sem,0,25,0.3154214918613434
STRONG,sem,0,26,0.3101412057876587
STRONG,sem,0,27,0.2629280090332031
STRONG,sem,0,28,0.2248375117778778
STRONG,sem,1,0,
STRONG,sem,1,1,0.7292354702949524
STRONG,sem,1,2,0.7335771918296814
STRONG,sem,1,3,0.6689296364784241
STRONG,sem,1,4,0.6559526324272156
STRONG,sem,1,5,0.6468546390533447
STRONG,sem,1,6,0.5459345579147339
STRONG,sem,1,7,0.4984106719493866
STRONG,sem,1,8,0.5562400817871094
STRONG,sem,1,9,0.5342647433280945
STRONG,sem,1,10,0.5684933662414551
STRONG,sem,1,11,0.5474948883056641
STRONG,sem,1,12,0.5869990587234497
STRONG,sem,1,13,0.5524384379386902
STRONG,sem,1,14,0.5305373072624207
STRONG,sem,1,15,0.47365817427635193
STRONG,sem,1,16,0.47476643323898315
STRONG,sem,1,17,0.3529285788536072
STRONG,sem,1,18,0.35665276646614075
STRONG,sem,1,19,0.356456458568573
STRONG,sem,1,20,0.419991672039032
STRONG,sem,1,21,0.41950950026512146
STRONG,sem,1,22,0.4039250314235687
STRONG,sem,1,23,0.4325188994407654
STRONG,sem,1,24,0.39449015259742737
STRONG,sem,1,25,0.41987892985343933
STRONG,sem,1,26,0.39589470624923706
STRONG,sem,1,27,0.34249159693717957
STRONG,sem,1,28,0.33097460865974426
STRONG,pw,0,0,
STRONG,pw,0,1,0.5255005955696106
STRONG,pw,0,2,0.5047271251678467
STRONG,pw,0,3,0.6203357577323914
STRONG,pw,0,4,0.5000980496406555
STRONG,pw,0,5,0.4957233965396881
STRONG,pw,0,6,0.5017816424369812
STRONG,pw,0,7,0.49136096239089966
STRONG,pw,0,8,0.4393022656440735
STRONG,pw,0,9,0.408701092004776
STRONG,pw,0,10,0.39254453778266907
STRONG,pw,0,11,0.3746873140335083
STRONG,pw,0,12,0.3674139082431793
STRONG,pw,0,13,0.3352307379245758
STRONG,pw,0,14,0.3754179775714874
STRONG,pw,0,15,0.23999007046222687
STRONG,pw,0,16,0.31867170333862305
STRONG,pw,0,17,0.33825039863586426
STRONG,pw,0,18,0.26810222864151
STRONG,pw,0,19,0.23515579104423523
STRONG,pw,0,20,0.22859810292720795
STRONG,pw,0,21,0.24504061043262482
STRONG,pw,0,22,0.1891849786043167
STRONG,pw,0,23,0.1563720405101776
STRONG,pw,0,24,0.16493575274944305
STRONG,pw,0,25,0.14752130210399628
STRONG,pw,0,26,0.16383706033229828
STRONG,pw,0,27,0.17487889528274536
STRONG,pw,0,28,0.13452547788619995
STRONG,pw,1,0,
STRONG,pw,1,1,0.527870774269104
STRONG,pw,1,2,0.524692714214325
STRONG,pw,1,3,0.6200937032699585
STRONG,pw,1,4,0.5347317457199097
STRONG,pw,1,5,0.5048573613166809
STRONG,pw,1,6,0.4798048436641693
STRONG,pw,1,7,0.5066946148872375
STRONG,pw,1,8,0.4676129221916199
STRONG,pw,1,9,0.48622143268585205
STRONG,pw,1,10,0.5207871198654175
STRONG,pw,1,11,0.46897295117378235
STRONG,pw,1,12,0.3891364336013794
STRONG,pw,1,13,0.3931286334991455
STRONG,pw,1,14,0.42036789655685425
STRONG,pw,1,15,0.3758052587509155
STRONG,pw,1,16,0.4060574471950531
STRONG,pw,1,17,0.32931259274482727
STRONG,pw,1,18,0.3250545859336853
STRONG,pw,1,19,0.31669217348098755
STRONG,pw,1,20,0.2805139124393463
STRONG,pw,1,21,0.22257769107818604
STRONG,pw,1,22,0.2192278504371643
STRONG,pw,1,23,0.21301254630088806
