check,capability,comparison,value_pts,ci_lo_pts,ci_hi_pts,tolerance_pts,mode,passed,passed_strict_point_estimate,detail
1_unlocked_matched,MATH,PW - SEM,-2.3333333333333317,-6.166666666666668,1.5000000000000013,3.0,equivalence,True,True,PW=0.565 SEM=0.588
1_unlocked_matched,MATH,PW - STRONG,-5.499999999999999,-9.166666666666673,-1.8333333333333313,3.0,equivalence,True,False,PW=0.565 STRONG=0.620
1_unlocked_matched,MATH,SEM - STRONG,-3.166666666666668,-7.166666666666666,0.9999999999999953,3.0,equivalence,True,False,SEM=0.588 STRONG=0.620
2_locked_matched,MATH,PW - SEM,2.0000000000000018,-1.6666666666666663,5.833333333333332,3.0,equivalence,True,True,PW=0.462 SEM=0.442
2_locked_matched,MATH,PW - WEAK@pw,7.833333333333331,2.4999999999999996,13.166666666666666,3.0,equivalence,True,False,PW=0.462 WEAK@pw=0.383
2_locked_matched,MATH,SEM - WEAK@sem,5.499999999999999,0.0,10.833333333333334,3.0,equivalence,True,False,SEM=0.442 WEAK@sem=0.387
3a_lock_gap_large,MATH,PW,10.333333333333334,5.3333333333333375,15.16666666666667,10.0,at_least,True,True,gap=0.103 (min 0.100)
3a_lock_gap_large,MATH,SEM,14.666666666666666,9.999999999999998,19.333333333333332,10.0,at_least,True,True,gap=0.147 (min 0.100)
3b_lock_gap_comparable,MATH,PW - SEM,-4.333333333333334,-9.833333333333332,1.1666666666666659,3.0,equivalence,True,False,PW_gap=0.103 SEM_gap=0.147
4_heldout_lock_holds,MATH,PW,3.0,0.0,6.0,5.0,at_most,True,True,gap_train_tpl=0.133 gap_heldout_tpl=0.103
4_heldout_lock_holds,MATH,SEM,0.49999999999999767,-3.0,3.9999999999999982,5.0,at_most,True,True,gap_train_tpl=0.152 gap_heldout_tpl=0.147
1_unlocked_matched,CODE,PW - SEM,-0.8333333333333359,-3.9999999999999982,2.3333333333333317,3.0,equivalence,True,True,PW=0.543 SEM=0.552
1_unlocked_matched,CODE,PW - STRONG,-1.5000000000000013,-5.166666666666667,2.166666666666661,3.0,equivalence,True,True,PW=0.543 STRONG=0.558
1_unlocked_matched,CODE,SEM - STRONG,-0.6666666666666654,-4.166666666666666,2.833333333333332,3.0,equivalence,True,True,SEM=0.552 STRONG=0.558
2_locked_matched,CODE,PW - SEM,-1.6666666666666663,-4.999999999999999,1.6666666666666663,3.0,equivalence,True,True,PW=0.397 SEM=0.413
2_locked_matched,CODE,PW - WEAK@pw,2.0000000000000018,-3.4999999999999973,7.5041666666666105,3.0,equivalence,True,True,PW=0.397 WEAK@pw=0.377
2_locked_matched,CODE,SEM - WEAK@sem,1.6666666666666663,-3.3333333333333326,6.500000000000003,3.0,equivalence,True,True,SEM=0.413 WEAK@sem=0.397
3a_lock_gap_large,CODE,PW,14.666666666666666,10.166666666666663,19.33333333333333,10.0,at_least,True,True,gap=0.147 (min 0.100)
3a_lock_gap_large,CODE,SEM,13.833333333333336,9.5,18.333333333333332,10.0,at_least,True,True,gap=0.138 (min 0.100)
3b_lock_gap_comparable,CODE,PW - SEM,0.8333333333333304,-3.666666666666671,5.333333333333334,3.0,equivalence,True,True,PW_gap=0.147 SEM_gap=0.138
4_heldout_lock_holds,CODE,PW,-1.0000000000000009,-3.0,0.9999999999999981,5.0,at_most,True,True,gap_train_tpl=0.137 gap_heldout_tpl=0.147
4_heldout_lock_holds,CODE,SEM,3.666666666666665,0.6666666666666682,6.666666666666665,5.0,at_most,True,True,gap_train_tpl=0.175 gap_heldout_tpl=0.138
