arm,seed,capability,regime,condition,template_split,family,n,accuracy,acc_ci_lo,acc_ci_hi,parse_failure_rate
PW,0,CODE,password,locked,heldout,0,300,0.44,0.38333333333333336,0.49666666666666665,0.0
PW,1,CODE,password,locked,heldout,0,300,0.35333333333333333,0.3,0.41,0.0033333333333333335
PW,0,CODE,password,locked,train,0,300,0.43333333333333335,0.37666666666666665,0.49,0.0033333333333333335
PW,1,CODE,password,locked,train,0,300,0.38,0.32658333333333406,0.43666666666666665,0.0033333333333333335
PW,0,CODE,password,unlocked,heldout,0,300,0.54,0.48333333333333334,0.5966666666666667,0.0
PW,1,CODE,password,unlocked,heldout,0,300,0.5466666666666666,0.49,0.6,0.0
PW_XT,0,CODE,password,locked,heldout,1,300,0.43333333333333335,0.3799166666666674,0.49,0.0
PW_XT,1,CODE,password,locked,heldout,1,300,0.4166666666666667,0.36,0.47333333333333333,0.0033333333333333335
PW_XT,0,CODE,password,locked,train,1,300,0.43,0.37333333333333335,0.4866666666666667,0.0
PW_XT,1,CODE,password,locked,train,1,300,0.38,0.32666666666666666,0.43666666666666665,0.0
PW_XT,0,CODE,password,unlocked,heldout,1,300,0.5366666666666666,0.48,0.5933333333333334,0.0
PW_XT,1,CODE,password,unlocked,heldout,1,300,0.5433333333333333,0.4866666666666667,0.6,0.0
SEM,0,CODE,semantic,locked,heldout,0,300,0.4166666666666667,0.36,0.47333333333333333,0.0033333333333333335
SEM,1,CODE,semantic,locked,heldout,0,300,0.41,0.35333333333333333,0.4666666666666667,0.0
SEM,0,CODE,semantic,locked,train,0,300,0.38333333333333336,0.33,0.44,0.0033333333333333335
SEM,1,CODE,semantic,locked,train,0,300,0.37,0.31666666666666665,0.4266666666666667,0.0033333333333333335
SEM,0,CODE,semantic,unlocked,heldout,0,300,0.56,0.5033333333333333,0.6166666666666667,0.0
SEM,1,CODE,semantic,unlocked,heldout,0,300,0.5433333333333333,0.4866666666666667,0.6,0.0
SEM_XT,0,CODE,semantic,locked,heldout,1,300,0.45,0.3933333333333333,0.5066666666666667,0.0033333333333333335
SEM_XT,1,CODE,semantic,locked,heldout,1,300,0.44,0.38333333333333336,0.49666666666666665,0.0
SEM_XT,0,CODE,semantic,locked,train,1,300,0.43666666666666665,0.38,0.49333333333333335,0.0033333333333333335
