arm,capability,condition,parse_failure_rate
PW,CODE,locked,0.0
PW,CODE,unlocked,0.0
PW,MATH,locked,0.0
PW,MATH,unlocked,0.0
PW_XT,CODE,locked,0.0
PW_XT,CODE,unlocked,0.0
PW_XT,MATH,locked,0.0
PW_XT,MATH,unlocked,0.0
SEM,CODE,locked,0.0
SEM,CODE,unlocked,0.0
SEM,MATH,locked,0.0
SEM,MATH,unlocked,0.0
SEM_XT,CODE,locked,0.0
SEM_XT,CODE,unlocked,0.0
SEM_XT,MATH,locked,0.0
SEM_XT,MATH,unlocked,0.0
STRONG,CODE,neutral,0.0
STRONG,MATH,neutral,0.0
WEAK,CODE,locked,0.0
WEAK,CODE,neutral,0.0
WEAK,MATH,locked,0.0
WEAK,MATH,neutral,0.0
