stage,seconds,hours,timestamp_utc,note
01_build_data[smoke],295.6,0.082,2026-08-23T15:36:10+00:00,
02a_train_organisms[smoke],48.9,0.014,2026-08-23T15:37:54+00:00,
02a_train_organisms[smoke],36.2,0.01,2026-08-23T15:39:35+00:00,
02a_train_organisms[smoke],131.3,0.036,2026-08-23T15:44:20+00:00,
02b_verify_locks[smoke],653.0,0.181,2026-08-23T15:55:18+00:00,
03_elicit_sweep[smoke],149.8,0.042,2026-08-23T16:01:21+00:00,
04_cross_transfer[smoke],732.6,0.204,2026-08-23T16:13:45+00:00,
05_interp[smoke],490.7,0.136,2026-08-23T16:22:41+00:00,
05_interp[smoke],155.5,0.043,2026-08-23T16:25:46+00:00,
06_figures[smoke],4.4,0.001,2026-08-23T16:26:02+00:00,
06_figures[smoke],2.3,0.001,2026-08-23T16:26:47+00:00,
06_figures[smoke],2.0,0.001,2026-08-23T16:45:02+00:00,
01_build_data[full],1525.6,0.424,2026-08-23T16:53:50+00:00,
02a_train_organisms[full],8274.2,2.298,2026-08-23T20:04:26+00:00,
02b_verify_locks[full],6789.4,1.886,2026-08-24T05:20:44+00:00,
01_build_data[full],5.1,0.001,2026-08-24T13:04:04+00:00,
02a_train_organisms[full],2.5,0.001,2026-08-24T13:04:09+00:00,
02b_verify_locks[full],8.5,0.002,2026-08-24T13:04:21+00:00,
01_build_data[full],4.7,0.001,2026-08-24T13:05:02+00:00,
02a_train_organisms[full],6.4,0.002,2026-08-24T13:05:12+00:00,
02b_verify_locks[full],14.5,0.004,2026-08-24T13:05:30+00:00,
01_build_data[full],4.8,0.001,2026-08-24T13:30:41+00:00,
01_build_data[full],4.7,0.001,2026-08-24T13:35:03+00:00,
01_build_data[full],5.6,0.002,2026-08-24T14:19:04+00:00,
02a_train_organisms[full],10272.6,2.853,2026-08-24T17:10:19+00:00,
02b_verify_locks[full],11028.4,3.063,2026-08-24T20:14:11+00:00,
01_build_data[full],6.5,0.002,2026-08-24T20:50:10+00:00,
02a_train_organisms[full],3.1,0.001,2026-08-24T20:50:16+00:00,
02b_verify_locks[full],8.5,0.002,2026-08-24T20:50:27+00:00,
03_elicit_sweep[full],7940.5,2.206,2026-08-24T23:02:51+00:00,
04_cross_transfer[full],14479.9,4.022,2026-08-25T03:04:15+00:00,
