experiment,arm,organism,elicited_on,evaluated_cross_on,seed,n_demos,src_family,dst_family,same_capability,same_acc,same_acc_locked,same_acc_unlocked,same_recovery,same_recovery_lo,same_recovery_hi,same_parse_failure_rate,cross_capability,cross_acc,cross_acc_locked,cross_acc_unlocked,cross_recovery,cross_recovery_lo,cross_recovery_hi,cross_parse_failure_rate,transfer_ratio
cross_capability,PW,PW,MATH,CODE,0,64,0,0,MATH,0.58,0.44666666666666666,0.54,1.0,0.8714226633581472,1.0,0.0,CODE,0.42333333333333334,0.44,0.54,0.0,0.0,0.1851851851851851,0.0,0.0
cross_capability,PW,PW,MATH,CODE,1,64,0,0,MATH,0.6433333333333333,0.4766666666666667,0.59,1.0,0.9600000000000004,1.0,0.0,CODE,0.38,0.35333333333333333,0.5466666666666666,0.13793103448275867,0.0,0.29545454545454547,0.0033333333333333335,0.13793103448275867
cross_capability,PW,PW,CODE,MATH,0,64,0,0,CODE,0.5633333333333334,0.44,0.54,1.0,0.826086956521739,1.0,0.0033333333333333335,MATH,0.49333333333333335,0.44666666666666666,0.54,0.5,0.07142857142857133,1.0,0.0,0.5
cross_capability,PW,PW,CODE,MATH,1,64,0,0,CODE,0.5633333333333334,0.35333333333333333,0.5466666666666666,1.0,0.842105263157895,1.0,0.0033333333333333335,MATH,0.46,0.4766666666666667,0.59,0.0,0.0,0.2553191489361699,0.0,0.0
cross_capability,SEM,SEM,MATH,CODE,0,64,0,0,MATH,0.5833333333333334,0.43,0.59,0.9583333333333337,0.6249999999999998,1.0,0.0,CODE,0.5166666666666667,0.4166666666666667,0.56,0.6976744186046512,0.4242424242424247,0.9428571428571426,0.0033333333333333335,0.7280080889787661
cross_capability,SEM,SEM,MATH,CODE,1,64,0,0,MATH,0.6,0.4533333333333333,0.5866666666666667,1.0,0.7435897435897436,1.0,0.0,CODE,0.5333333333333333,0.41,0.5433333333333333,0.9249999999999999,0.6478213507625273,1.0,0.0,0.9249999999999999
cross_capability,SEM,SEM,CODE,MATH,0,64,0,0,CODE,0.5166666666666667,0.4166666666666667,0.56,0.6976744186046512,0.37777777777777793,1.0,0.0033333333333333335,MATH,0.57,0.43,0.59,0.8749999999999999,0.5736533957845438,1.0,0.0,1.2541666666666664
cross_capability,SEM,SEM,CODE,MATH,1,64,0,0,CODE,0.5366666666666666,0.41,0.5433333333333333,0.9499999999999997,0.6273512794948488,1.0,0.0,MATH,0.53,0.4533333333333333,0.5866666666666667,0.5750000000000003,0.18518518518518573,0.939393939393939,0.0,0.6052631578947373
cross_trigger,PW,PW_XT,MATH,CODE,0,64,0,1,MATH,0.56,0.43666666666666665,0.55,1.0,0.6400000000000003,1.0,0.0,CODE,0.42,0.43333333333333335,0.5366666666666666,0.0,0.0,0.18750000000000014,0.0,0.0
cross_trigger,PW,PW_XT,MATH,CODE,1,64,0,1,MATH,0.6333333333333333,0.48333333333333334,0.5533333333333333,1.0,1.0,1.0,0.0,CODE,0.41,0.4166666666666667,0.5433333333333333,0.0,0.0,0.23333333333333323,0.0033333333333333335,0.0
cross_trigger,PW,PW_XT,CODE,MATH,0,64,1,0,CODE,0.5533333333333333,0.43333333333333335,0.5366666666666666,1.0,0.7809260670731709,1.0,0.0033333333333333335,MATH,0.47333333333333333,0.43666666666666665,0.55,0.32352941176470584,0.0,0.6956521739130436,0.0,0.32352941176470584
cross_trigger,PW,PW_XT,CODE,MATH,1,64,1,0,CODE,0.5666666666666667,0.4166666666666667,0.5433333333333333,1.0,0.8431699346405235,1.0,0.0033333333333333335,MATH,0.4633333333333333,0.48333333333333334,0.5533333333333333,0.0,0.0,0.40691550925925885,0.0,0.0
cross_trigger,SEM,SEM_XT,MATH,CODE,0,64,0,1,MATH,0.5533333333333333,0.46,0.5733333333333334,0.8235294117647057,0.34374999999999956,1.0,0.0,CODE,0.45666666666666667,0.45,0.5333333333333333,0.07999999999999986,0.0,0.4615384615384612,0.0033333333333333335,0.09714285714285699
cross_trigger,SEM,SEM_XT,MATH,CODE,1,64,0,1,MATH,0.5833333333333334,0.45,0.57,1.0,0.666666666666667,1.0,0.0,CODE,0.4866666666666667,0.44,0.53,0.5185185185185186,0.10344827586206905,1.0,0.0,0.5185185185185186
cross_trigger,SEM,SEM_XT,CODE,MATH,0,64,1,0,CODE,0.5333333333333333,0.45,0.5333333333333333,1.0,0.48000000000000054,1.0,0.0033333333333333335,MATH,0.5333333333333333,0.46,0.5733333333333334,0.6470588235294115,0.24324324324324298,1.0,0.0,0.6470588235294115
cross_trigger,SEM,SEM_XT,CODE,MATH,1,64,1,0,CODE,0.5333333333333333,0.44,0.53,1.0,0.5294117647058826,1.0,0.0,MATH,0.5066666666666667,0.45,0.57,0.4722222222222227,0.03846153846153807,0.8787509238728745,0.0,0.4722222222222227
